2024-09-07 18:06:28,497 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 18:06:28,503 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["ABCDE","12345"]
2024-09-07 18:06:28,503 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,507 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"ruMqP","age":27,"sex":"FEMALE","zipCode":"23456"}]
2024-09-07 18:06:28,507 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '27', Name: 'ruMqP', Sex: 'FEMALE', ZipCode: '23456' to Age: '45', Name: 'fPmkT', Sex: 'FEMALE', ZipCode: 'ABCDE'
2024-09-07 18:06:28,507 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Patch request to /users is created
2024-09-07 18:06:28,507 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":45,"name":"fPmkT","sex":"FEMALE","zipCode":"ABCDE"},"userToChange":{"age":27,"name":"ruMqP","sex":"FEMALE","zipCode":"23456"}}
2024-09-07 18:06:28,513 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 18:06:28,513 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,516 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"fPmkT","age":45,"sex":"FEMALE","zipCode":"ABCDE"}]
