2024-09-07 18:06:28,451 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 18:06:28,456 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 18:06:28,456 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,461 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"oujXh","age":51,"sex":"MALE","zipCode":"12345"}]
2024-09-07 18:06:28,463 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '51', Name: 'oujXh', Sex: 'MALE', ZipCode: '12345' to Age: '27', Name: 'ruMqP', Sex: 'FEMALE', ZipCode: '23456'
2024-09-07 18:06:28,463 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Put request to /users is created
2024-09-07 18:06:28,465 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":27,"name":"ruMqP","sex":"FEMALE","zipCode":"23456"},"userToChange":{"age":51,"name":"oujXh","sex":"MALE","zipCode":"12345"}}
2024-09-07 18:06:28,488 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 18:06:28,488 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 18:06:28,492 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"ruMqP","age":27,"sex":"FEMALE","zipCode":"23456"}]
