2024-09-07 19:00:38,432 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 19:00:38,436 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 19:00:38,436 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 19:00:38,439 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Fvcgw","age":27,"sex":"MALE","zipCode":"12345"}]
2024-09-07 19:00:38,440 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '27', Name: 'Fvcgw', Sex: 'MALE', ZipCode: '12345' to Age: '39', Name: 'IVotY', Sex: 'FEMALE', ZipCode: '23456'
2024-09-07 19:00:38,440 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Put request to /users is created
2024-09-07 19:00:38,442 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":39,"name":"IVotY","sex":"FEMALE","zipCode":"23456"},"userToChange":{"age":27,"name":"Fvcgw","sex":"MALE","zipCode":"12345"}}
2024-09-07 19:00:38,462 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 19:00:38,462 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 19:00:38,465 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"IVotY","age":39,"sex":"FEMALE","zipCode":"23456"}]
