2024-09-07 17:58:08,183 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:58:08,186 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["12345","23456","ABCDE"]
2024-09-07 17:58:08,186 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - The JSON file was successfully created along the path: /home/runner/work/REST_API_Testing_Training/REST_API_Testing_Training/ApiTestingSolution/bin/Debug/net8.0/users.json
2024-09-07 17:58:08,186 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Post request to /users/upload is created
2024-09-07 17:58:08,186 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Upload file: /home/runner/work/REST_API_Testing_Training/REST_API_Testing_Training/ApiTestingSolution/bin/Debug/net8.0/users.json
2024-09-07 17:58:08,192 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users/upload is received. Status Code: Created, Response Body: Number of users = 3
2024-09-07 17:58:08,192 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:58:08,194 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"gYNAH","age":20,"sex":"MALE","zipCode":"12345"},{"name":"Nxnso","age":40,"sex":"MALE","zipCode":"23456"},{"name":"vJtcf","age":31,"sex":"MALE","zipCode":"ABCDE"}]
2024-09-07 17:58:08,194 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:58:08,196 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: []
