2024-09-07 17:58:07,948 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:58:07,952 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["ABCDE","12345"]
2024-09-07 17:58:07,952 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:58:07,955 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"WrEdy","age":38,"sex":"FEMALE","zipCode":"23456"}]
2024-09-07 17:58:07,955 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '38', Name: 'WrEdy', Sex: 'FEMALE', ZipCode: '23456' to Age: '50', Name: 'uMWyn', Sex: 'FEMALE', ZipCode: 'ABCDE'
2024-09-07 17:58:07,955 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Patch request to /users is created
2024-09-07 17:58:07,955 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":50,"name":"uMWyn","sex":"FEMALE","zipCode":"ABCDE"},"userToChange":{"age":38,"name":"WrEdy","sex":"FEMALE","zipCode":"23456"}}
2024-09-07 17:58:07,958 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 17:58:07,958 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:58:07,960 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"uMWyn","age":50,"sex":"FEMALE","zipCode":"ABCDE"}]
