2024-09-07 17:39:39,347 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:39:39,351 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 17:39:39,351 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:39:39,354 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"halkN","age":41,"sex":"MALE","zipCode":"12345"}]
2024-09-07 17:39:39,356 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '41', Name: 'halkN', Sex: 'MALE', ZipCode: '12345' to Age: '29', Name: 'aBbSo', Sex: 'FEMALE', ZipCode: '23456'
2024-09-07 17:39:39,356 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Put request to /users is created
2024-09-07 17:39:39,358 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":29,"name":"aBbSo","sex":"FEMALE","zipCode":"23456"},"userToChange":{"age":41,"name":"halkN","sex":"MALE","zipCode":"12345"}}
2024-09-07 17:39:39,376 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 17:39:39,376 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:39:39,379 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"aBbSo","age":29,"sex":"FEMALE","zipCode":"23456"}]
