"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","14","","Tests - User controller","","UserControllerTests","UploadFileWithCorrectUsersDataTest","UploadFileWithCorrectUsersDataTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","416","","Tests - User controller","","UserControllerTests","AddCorrectUserTest","AddCorrectUserTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","11","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectRequestBodyTest","UpdateUserByIncorrectRequestBodyTest(PUT)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","10","","Tests - User controller","","UserControllerTests","DeleteByRequiredFieldsOnlyTest","DeleteByRequiredFieldsOnlyTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","5","","Tests - ZipCode controller","","ZipCodeControllerTests","GetAvailableZipCodesTest","GetAvailableZipCodesTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","11","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectRequestBodyTest","UpdateUserByIncorrectRequestBodyTest(PATCH)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","5","","Tests - User controller","","UserControllerTests","GetAllUsersTest","GetAllUsersTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","12","","Tests - User controller","","UserControllerTests","UpdateUserTest","UpdateUserTest(PATCH)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","72","","Tests - User controller","","UserControllerTests","UploadFileWithMissedRequiredFieldTest","UploadFileWithMissedRequiredFieldTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","17","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectZipCodeTest","UpdateUserByIncorrectZipCodeTest(PUT)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","6","","Tests - User controller","","UserControllerTests","GetAllUsersBySexParameterTest","GetAllUsersBySexParameterTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","5","","Tests - User controller","","UserControllerTests","GetAllUsersByOlderThanParameterTest","GetAllUsersByOlderThanParameterTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","12","","Tests - User controller","","UserControllerTests","UpdateUserByIncorrectZipCodeTest","UpdateUserByIncorrectZipCodeTest(PATCH)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","22","","Tests - User controller","","UserControllerTests","UploadFileWithIncorrectZipCodeForUserTest","UploadFileWithIncorrectZipCodeForUserTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","18","","Tests - User controller","","UserControllerTests","UpdateUserTest","UpdateUserTest(PUT)",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","13","","Tests - User controller","","UserControllerTests","DeleteByMissedRequiredFieldTest","DeleteByMissedRequiredFieldTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","7","","Tests - ZipCode controller","","ZipCodeControllerTests","ExpandAvailableZipCodesTest","ExpandAvailableZipCodesTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","22","","Tests - User controller","","UserControllerTests","AddUserWithIncorrectZipCodeTest","AddUserWithIncorrectZipCodeTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","13","","Tests - User controller","","UserControllerTests","DeleteUser","DeleteUser",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","21","","Tests - User controller","","UserControllerTests","AddUserWithIncorrectNameAndSexTest","AddUserWithIncorrectNameAndSexTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","8","","Tests - User controller","","UserControllerTests","GetAllUsersByYoungerThanParameterTest","GetAllUsersByYoungerThanParameterTest",""
"passed","Sat Sep 07 18:09:54 GMT 2024","Sat Sep 07 18:09:54 GMT 2024","8","","Tests - ZipCode controller","","ZipCodeControllerTests","ExpandAvailableZipCodesByDuplicationsTest","ExpandAvailableZipCodesByDuplicationsTest",""
