2024-09-07 15:30:04,820 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:30:04,822 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 15:30:04,822 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:30:04,825 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"Wcjjg","age":23,"sex":"MALE","zipCode":"12345"}]
2024-09-07 15:30:04,826 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '23', Name: 'Wcjjg', Sex: 'MALE', ZipCode: '12345' to Age: '53', Name: 'rEaJf', Sex: 'FEMALE', ZipCode: '23456'
2024-09-07 15:30:04,826 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Put request to /users is created
2024-09-07 15:30:04,828 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":53,"name":"rEaJf","sex":"FEMALE","zipCode":"23456"},"userToChange":{"age":23,"name":"Wcjjg","sex":"MALE","zipCode":"12345"}}
2024-09-07 15:30:04,844 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 15:30:04,844 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:30:04,846 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"rEaJf","age":53,"sex":"FEMALE","zipCode":"23456"}]
