2024-09-07 15:40:22,146 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:22,151 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["23456","ABCDE"]
2024-09-07 15:40:22,151 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,155 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"axFdc","age":41,"sex":"MALE","zipCode":"12345"}]
2024-09-07 15:40:22,157 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '41', Name: 'axFdc', Sex: 'MALE', ZipCode: '12345' to Age: '32', Name: 'xtoeq', Sex: 'FEMALE', ZipCode: '23456'
2024-09-07 15:40:22,157 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Put request to /users is created
2024-09-07 15:40:22,159 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":32,"name":"xtoeq","sex":"FEMALE","zipCode":"23456"},"userToChange":{"age":41,"name":"axFdc","sex":"MALE","zipCode":"12345"}}
2024-09-07 15:40:22,183 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 15:40:22,183 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,186 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"xtoeq","age":32,"sex":"FEMALE","zipCode":"23456"}]
