2024-09-07 15:40:22,192 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 15:40:22,196 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["ABCDE","12345"]
2024-09-07 15:40:22,197 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,201 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"xtoeq","age":32,"sex":"FEMALE","zipCode":"23456"}]
2024-09-07 15:40:22,201 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '32', Name: 'xtoeq', Sex: 'FEMALE', ZipCode: '23456' to Age: '14', Name: 'BtGIJ', Sex: 'FEMALE', ZipCode: 'ABCDE'
2024-09-07 15:40:22,201 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Patch request to /users is created
2024-09-07 15:40:22,201 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":14,"name":"BtGIJ","sex":"FEMALE","zipCode":"ABCDE"},"userToChange":{"age":32,"name":"xtoeq","sex":"FEMALE","zipCode":"23456"}}
2024-09-07 15:40:22,206 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 15:40:22,206 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 15:40:22,209 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"BtGIJ","age":14,"sex":"FEMALE","zipCode":"ABCDE"}]
