2024-09-07 17:51:32,078 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /zip-codes is created
2024-09-07 17:51:32,082 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /zip-codes is received. Status Code: OK, Response Body: ["ABCDE","12345"]
2024-09-07 17:51:32,082 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"GJopS","age":34,"sex":"FEMALE","zipCode":"23456"}]
2024-09-07 17:51:32,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Trying to update user: Age: '34', Name: 'GJopS', Sex: 'FEMALE', ZipCode: '23456' to Age: '45', Name: 'mBFsj', Sex: 'FEMALE', ZipCode: 'ABCDE'
2024-09-07 17:51:32,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Patch request to /users is created
2024-09-07 17:51:32,085 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Body of the request is: {"userNewValues":{"age":45,"name":"mBFsj","sex":"FEMALE","zipCode":"ABCDE"},"userToChange":{"age":34,"name":"GJopS","sex":"FEMALE","zipCode":"23456"}}
2024-09-07 17:51:32,088 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: 
2024-09-07 17:51:32,088 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Get request to /users is created
2024-09-07 17:51:32,091 [NonParallelWorker] INFO  ApiTestingSolution.Logging.Logger - Response from /users is received. Status Code: OK, Response Body: [{"name":"mBFsj","age":45,"sex":"FEMALE","zipCode":"ABCDE"}]
